排名,股票代码,股票名称,最新价,涨跌幅,主力净流入,主力净占比,超大单净流入,超大单净占比,大单净流入,大单净占比,中单净流入,中单净占比,小单净流入,小单净占比
1,601669,中国电建,7.19,+9.94%,20.61 亿,16.13%,33.11 亿,25.92%,-12.51 亿,-9.79%,-11.73 亿,-9.18%,-8.87 亿,-6.94%
2,300502,新易盛,394.03,+4.03%,16.04 亿,10.08%,12.28 亿,7.72%,3.76 亿,2.36%,-9.04 亿,-5.68%,-7.01 亿,-4.40%
3,601611,中国核建,19.21,+10.02%,13.17 亿,23.00%,14.44 亿,25.23%,-1.28 亿,-2.23%,-5.82 亿,-10.16%,-7.35 亿,-12.83%
4,002463,沪电股份,81.18,+6.34%,11.16 亿,10.71%,11.85 亿,11.38%,-6915.58 万,-0.66%,-4.07 亿,-3.91%,-7.09 亿,-6.81%
5,002165,红宝丽,12.76,+10.00%,10.14 亿,42.57%,10.58 亿,44.40%,-4360.50 万,-1.83%,-3.95 亿,-16.59%,-6.19 亿,-25.97%
6,300308,中际旭创,542.02,+1.35%,8.87 亿,7.72%,5.22 亿,4.54%,3.65 亿,3.18%,-8.87 亿,-7.72%,-30.97 万,0.00%
7,002429,兆驰股份,11.94,+10.05%,8.37 亿,18.10%,11.75 亿,25.42%,-3.38 亿,-7.32%,-4.64 亿,-10.04%,-3.72 亿,-8.05%
8,001309,德明利,320.05,+9.05%,6.56 亿,9.47%,7.28 亿,10.50%,-7158.72 万,-1.03%,-3.58 亿,-5.17%,-2.98 亿,-4.30%
9,002470,金正大,3.22,+9.90%,6.49 亿,57.05%,7.78 亿,68.34%,-1.29 亿,-11.29%,-2.68 亿,-23.54%,-3.81 亿,-33.51%
10,600930,华电新能,6.76,+5.30%,6.12 亿,11.87%,7.52 亿,14.58%,-1.39 亿,-2.70%,-3.31 亿,-6.41%,-2.82 亿,-5.46%
11,300185,通裕重工,4.21,+19.94%,5.91 亿,17.22%,7.93 亿,23.11%,-2.02 亿,-5.89%,-3.13 亿,-9.11%,-2.78 亿,-8.11%
12,601728,中国电信,6.18,+3.00%,5.81 亿,23.39%,4.98 亿,20.05%,8298.52 万,3.34%,-2.20 亿,-8.87%,-3.61 亿,-14.52%
13,603659,璞泰来,32.41,+10.01%,5.67 亿,26.25%,6.39 亿,29.61%,-7242.11 万,-3.35%,-3.05 亿,-14.11%,-2.62 亿,-12.14%
14,300035,中科电气,22.89,+13.32%,4.94 亿,15.66%,4.78 亿,15.14%,1647.36 万,0.52%,-2.92 亿,-9.25%,-2.02 亿,-6.41%
